"prompt_id","title","category","department","copilot_surface","environment_tags","theme","prompt_text","description","tips","difficulty","workflow_area","tags","risk_flag","usage_score","persona"
"TWF-CPL-004","Compare Content Versions","Themed Workflow","Universal","Chat","Copilot Chat Only","Content Pipeline","Act as a content operations specialist with expertise in editorial workflow management. Compare these [NUMBER] versions of [CONTENT]: [VERSION_DETAILS]. What's different? Which version is stronger and why? How should we merge or choose?. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output.","Evaluates alternative drafts to select or combine the strongest elements.","Score each on clarity, persuasiveness, and fit; Copilot will compare. Use for collaborative writing.","Intermediate","Content Pipeline","version-comparison|editing|collaboration","","4","Writer/Editor"
"TWF-CPL-005","Consolidate Feedback","Themed Workflow","Universal","Chat","Copilot Chat Only","Content Pipeline","Act as a content operations specialist with expertise in editorial workflow management. I've gathered feedback on this draft [DRAFT] from [NUMBER] reviewers: [FEEDBACK_SUMMARY]. Consolidate feedback: common themes, conflicts, and recommendations. How should I revise?. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Synthesizes multiple feedback inputs into coherent revision guidance.","Categorize feedback (critical, important, nice-to-have); Copilot will prioritize. Resolve conflicts by asking for clarification.","Beginner","Content Pipeline","feedback|synthesis|revision","","4","Analyst|Writer/Editor"
"TWF-CPL-006","Polish Final Draft","Themed Workflow","Universal","Chat","Copilot Chat Only","Content Pipeline","Act as a content operations specialist with expertise in editorial workflow management. Polish this [CONTENT_TYPE] for publication: review for flow, clarity, tone, impact, and brand alignment. Make it ready for [PUBLISHER/AUDIENCE]. Tighten by [%] without losing substance. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Final edit before publication to ensure quality and consistency.","Review for typos, grammar, consistency; Copilot will polish. Have fresh eyes review before publishing.","Beginner","Content Pipeline","editing|publication-readiness|quality-assurance","","4","Analyst|Writer/Editor"
"TWF-CPL-007","Publication Review Checklist","Themed Workflow","Universal","Chat","Copilot Chat Only","Content Pipeline","Act as a content operations specialist with expertise in editorial workflow management. This [CONTENT_TYPE] is ready for publication. Checklist: headline compelling? Message clear? Call-to-action present? Brand voice consistent? Links/images working? Any errors or issues?. Think through each element systematically before producing output. Note any assumptions made and flag areas where additional information would improve the analysis.","Pre-publication quality and compliance check.","Use a checklist to ensure consistency; Copilot will help. Get second review if high-stakes content.","Beginner","Content Pipeline","quality-assurance|pre-publication|checklist","High Risk","4","Analyst|Designer/Creator|Writer/Editor"
"UT-DAT-001","Trend Identification","Universal Toolkit","Universal","Chat","Copilot Chat Only","Data Analysis","Act as a senior data analyst with expertise in business intelligence. Analyze this [DATA_TYPE]: [DATA or FILE_REFERENCE]. Identify trends over time (or across [DIMENSION]). For each trend: describe the direction, note the magnitude of change, and suggest a business implication. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Reveals directional patterns in data for decision-making and strategy.","Provide dates or time periods if available; Copilot works better with context. For noisy data, ask for moving average or smoothed interpretation.","Intermediate","Data Analysis","trends|forecasting|insight","","4","Analyst|Executive|Planner/Strategist"
"UT-DAT-003","What-If Scenario Analysis","Universal Toolkit","Universal","Chat","Copilot Chat Only","Data Analysis","Act as a senior data analyst with expertise in business intelligence. Given this baseline [DATA/ASSUMPTION]: [INPUT], model what happens if [SCENARIO_A], [SCENARIO_B], and [SCENARIO_C]. Show impact on [KEY_METRIC] as: current state, scenario outcome, % change. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Explores decision impact without re-running complex models.","Frame scenarios clearly: best case, worst case, most likely. Copilot will reason through cause-effect; review math for critical decisions.","Intermediate","Data Analysis","scenario-planning|decision-support|forecasting","","4","Analyst|Planner/Strategist"
"UT-DAT-004","Data Quality Assessment","Universal Toolkit","Universal","Chat","Copilot Chat Only","Data Analysis","Act as a senior data analyst with expertise in business intelligence. Assess the quality of this [DATA_TYPE]: [DATA]. Check for: completeness (% missing), consistency (format, values), accuracy (obvious errors), and timeliness (age of data). Rate overall quality and suggest cleanup priorities. Think through each element systematically before producing output. Note any assumptions made and flag areas where additional information would improve the analysis.","Determines fitness of data for decision-making and identifies remediation needs.","Provide context about the data source and use case; Copilot will prioritize quality issues. Useful before relying on data for major decisions.","Intermediate","Data Analysis","data-quality|governance|data-driven-decisions","","4","Analyst|Executive|Planner/Strategist"
"UT-DAT-005","Comparison Across Groups","Universal Toolkit","Universal","Chat","Copilot Chat Only","Data Analysis","Act as a senior data analyst with expertise in business intelligence. Compare [METRIC] across [DIMENSION]: [VALUES]. Show performance of each group: absolute value, rank, and performance vs. average. Highlight winners, laggards, and why the gaps might exist. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output.","Benchmarks performance within and between groups for accountability and learning.","Provide context about each group (geography, team, product); Copilot will suggest relevant comparisons. Useful for dashboard design and team scorecards.","Intermediate","Data Analysis","benchmarking|comparison|performance-management","","4","Analyst|Researcher"
"UT-DAT-006","Forecasting and Extrapolation","Universal Toolkit","Universal","Chat","Copilot Chat Only","Data Analysis","Act as a senior data analyst with expertise in business intelligence. Given this historical [DATA_TYPE] from [TIME_PERIOD]: [DATA], forecast [METRIC] for [FUTURE_PERIOD]. Note assumptions, confidence level, and key drivers of the forecast. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output.","Projects future performance based on historical patterns and trends.","Copilot can extrapolate trends but should not be your primary forecasting tool for critical decisions. Use this for directional planning; validate with statistical models.","Intermediate","Data Analysis","forecasting|planning|projection","","4","Analyst|Planner/Strategist"
"UT-DAT-007","Segmentation and Clustering","Universal Toolkit","Universal","Chat","Copilot Chat Only","Data Analysis","Act as a senior data analyst with expertise in business intelligence. Segment this [DATA_TYPE] by [DIMENSION]. Identify natural clusters or groupings based on [CRITERIA]. For each segment: size, key characteristics, and business relevance or action. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Reveals distinct groups within a population for targeted strategy.","Copilot will suggest reasonable segments; validate against your business model. Useful for targeting, messaging, and resource allocation.","Intermediate","Data Analysis","segmentation|customer-insights|strategy","","4","Analyst|Planner/Strategist"
"UT-DAT-008","Root Cause Analysis","Universal Toolkit","Universal","Chat","Copilot Chat Only","Data Analysis","Act as a senior data analyst with expertise in business intelligence. We're seeing [SYMPTOM/PROBLEM] in [METRIC]. Walk through the factors that could cause this: [DIMENSIONS or FACTORS]. Which factors changed recently? Which are most likely culprits?. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Diagnoses the drivers behind business problems for targeted solutions.","Use 5-Whys or fishbone structure; ask Copilot to walk through each branch. Review findings against recent changes (system, process, market) for validation.","Intermediate","Data Analysis","root-cause-analysis|problem-solving|diagnostics","","4","Analyst"
"UT-DAT-010","Dashboard Design Recommendation","Universal Toolkit","Universal","Chat","Copilot Chat Only","Data Analysis","Act as a senior data analyst with expertise in business intelligence. For this [USE_CASE/AUDIENCE], recommend a dashboard structure. What [NUMBER] metrics matter most? How should they be organized? What granularity (daily, weekly, monthly)? Suggest 2-3 visualizations. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Blueprints effective dashboards aligned with user needs and decision workflows.","Describe the user (what decisions they make, what they check weekly); Copilot will suggest relevant metrics. Review for actionability and timeliness.","Intermediate","Data Analysis","dashboard-design|visualization|user-experience","","4","Analyst|Designer/Creator|Executive"
"UT-DAT-011","Data Quality Assessment","Universal Toolkit","Universal","Chat","Copilot Chat Only","Data Management","Act as a data management specialist with expertise in data quality and governance. Assess data quality for [DATASET_OR_SYSTEM]: 1) Completeness (% of missing values by field), 2) Accuracy (known errors or inconsistencies), 3) Timeliness (data freshness and update frequency), 4) Consistency (cross-system alignment), 5) Recommendations (prioritized fixes with effort estimate). Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Provides a structured data quality health check to inform cleanup priorities and data governance.","Provide sample data or describe the schema. Copilot can analyze patterns and flag anomalies. Pair with a data steward for remediation planning.","Intermediate","Data Management","data-quality|governance|analytics","High Risk","4","Analyst|Planner/Strategist"
"UT-DAT-013","Dashboard Data Preparation","Universal Toolkit","Universal","Agent-Excel","Licensed M365 Copilot","Data Management","Act as a data management specialist with expertise in data quality and governance. Prepare this raw data for dashboard visualization: 1) Clean and standardize column formats, 2) Remove duplicates and handle missing values, 3) Create calculated columns ([SPECIFY_METRICS]), 4) Build pivot table summaries, 5) Add conditional formatting to highlight outliers, 6) Create a summary sheet with key KPIs. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Transforms raw data into dashboard-ready format with calculations and formatting.","Describe the final dashboard you want. Copilot will work backwards to structure the data correctly. Keep raw data on a separate sheet from calculations.","Intermediate","Data Management","dashboard|data-prep|excel|visualization","","4","Analyst|Designer/Creator|Executive"
"UT-DAT-014","Budget vs Actual Tracker","Universal Toolkit","Universal","Agent-Excel","Licensed M365 Copilot","Finance","Act as a financial analyst with expertise in modeling and variance analysis. Create a budget variance tracker: 1) Monthly columns (Jan-Dec) with Budget and Actual and Variance rows, 2) Conditional formatting (green for favorable and red for unfavorable variance), 3) YTD rollup formulas, 4) Variance % calculation, 5) Chart showing budget vs. actual trend line, 6) Commentary column for explanations. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Automates budget tracking with visual variance highlighting and trend analysis.","Enter budget figures first then actuals monthly. Copilot will calculate variances and flag items exceeding threshold. Set a materiality threshold (e.g. 5%).","Beginner","Finance","budget|variance|tracking|financial-reporting","High Risk","4","Analyst|Designer/Creator|Planner/Strategist"
"UT-DAT-015","Sales Pipeline Analyzer","Universal Toolkit","Universal","Agent-Excel","Licensed M365 Copilot","Sales","Act as a sales operations analyst with expertise in pipeline management. Analyze this sales pipeline data: 1) Pipeline Summary (table: Stage | Count | Value | Avg Deal Size | Conversion Rate), 2) Weighted Pipeline Value, 3) Aging Analysis (deals stuck in stage > [DAYS]), 4) Win/Loss Analysis by [SEGMENT], 5) Forecast for next quarter, 6) Rep Performance Comparison. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Provides pipeline health metrics and forecasting from raw CRM export data.","Export from CRM as CSV. Copilot will calculate stage conversion rates and weighted values. Flag deals with no activity in 30+ days.","Intermediate","Sales","pipeline|sales|forecasting|CRM","High Risk","4","Analyst"
"UT-DAT-017","Inventory Management Tracker","Universal Toolkit","Universal","Agent-Excel","Licensed M365 Copilot","Operations","Act as an operations excellence specialist with expertise in process optimization. Create an inventory tracking workbook: 1) Item Master (SKU | Description | Category | Unit Cost | Reorder Point), 2) Stock Levels (current quantity and location), 3) Movement Log (date | item | quantity | type: in/out), 4) Alerts for items below reorder point, 5) ABC Analysis (classify by value), 6) Turnover Rate Calculation. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Automates inventory tracking with reorder alerts and classification analysis.","Set reorder points based on lead time and demand variability. Copilot will calculate turnover and classify items. Review ABC classification quarterly.","Intermediate","Operations","inventory|tracking|operations|supply-chain","","4","Analyst"
"UT-DAT-018","Project Resource Allocation","Universal Toolkit","Universal","Agent-Excel","Licensed M365 Copilot","Project Management","Act as a certified project manager with expertise in stakeholder communication. Build a resource allocation model: 1) Team Roster (name | role | availability % | cost rate), 2) Project List (project | phase | start | end | required skills), 3) Allocation Matrix (who is assigned where and at what %), 4) Utilization Dashboard (actual vs. capacity), 5) Conflict Detection (over-allocated resources highlighted). Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Visualizes resource allocation across projects to prevent overcommitment and identify capacity gaps.","Update weekly for accuracy. Flag anyone consistently above 90% utilization. Include planned PTO and training time in capacity calculations.","Intermediate","Project Management","resource-allocation|capacity|project-management","","4","Analyst|Designer/Creator|Executive|Manager|Writer/Editor"
"UT-DAT-022","Operational Efficiency Metrics","Universal Toolkit","Universal","Agent-Analyst","Licensed M365 Copilot","Analytics","Act as a senior analytics specialist with expertise in data-driven decision making. Analyze operational efficiency in [DATASET]: 1) Throughput Metrics (volume/time/cost per unit), 2) Bottleneck Identification, 3) Capacity Utilization, 4) Quality Metrics (error rate/rework/defects), 5) Benchmark Comparison (internal teams or industry), 6) Improvement Opportunities ranked by ROI. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Identifies operational inefficiencies and quantifies improvement opportunities from process data.","Include timestamps for process steps to identify bottlenecks. Compare across teams or time periods. Focus on the constraint — improving non-bottlenecks does not help.","Intermediate","Analytics","operations|efficiency|process|metrics","","4","Analyst|Executive|Manager|Researcher"
"UT-DAT-023","Employee Analytics & Workforce Insights","Universal Toolkit","Universal","Agent-Analyst","Licensed M365 Copilot","HR Analytics","Act as a people analytics specialist with expertise in workforce insights. Analyze workforce data in [DATASET]: 1) Headcount Overview (by department/level/tenure), 2) Turnover Analysis (voluntary vs. involuntary and by segment), 3) Diversity Metrics, 4) Compensation Distribution, 5) Engagement Score Correlation Analysis, 6) Flight Risk Indicators. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Provides people analytics insights to inform HR strategy and workforce planning decisions.","Anonymize data before analysis. Look for correlations between engagement scores and turnover. Flag teams with turnover 2x company average.","Intermediate","HR Analytics","people-analytics|workforce|HR|turnover","","4","Analyst|Planner/Strategist"
"UT-DAT-024","Survey Results Analyzer","Universal Toolkit","Universal","Agent-Analyst","Licensed M365 Copilot","Analytics","Act as a senior analytics specialist with expertise in data-driven decision making. Analyze survey results in [DATASET]: 1) Response Rate and demographics, 2) Score Summary (table: Question | Mean | Median | Distribution), 3) Top Scores and Bottom Scores, 4) Open-Text Theme Analysis, 5) Segment Comparison (by department/tenure/role), 6) Year-over-Year Trends, 7) Priority Actions based on impact analysis. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Transforms raw survey data into actionable insights with statistical rigor and thematic analysis.","Include demographic fields for segmentation. Copilot will calculate statistical significance for group differences. Focus actions on items with high importance and low scores.","Intermediate","Analytics","survey-analytics|employee-feedback|engagement","","4","Analyst|Designer/Creator|Executive|Planner/Strategist|Researcher"
"UT-DRF-001","Content Drafting from Notes","Universal Toolkit","Universal","Chat","Copilot Chat Only","Content Drafting","Act as a professional writer and communications strategist. Using these notes: [NOTES], draft a [DOCUMENT_TYPE] for [AUDIENCE] about [TOPIC]. Organize by [STRUCTURE], use [TONE], and ensure it answers [KEY_QUESTION]. Include a clear call-to-action. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Transforms raw notes into polished deliverables for communication and alignment.","Start with a clear structure in mind (e.g., problem-solution-next-steps); Copilot will follow it. Specify tone explicitly: formal, conversational, technical, etc.","Beginner","Content Drafting","drafting|efficiency|communication","","4","Analyst|Planner/Strategist|Writer/Editor"
"UT-DRF-002","Multi-Source Content Synthesis","Universal Toolkit","Universal","Chat","Copilot Chat Only","Content Drafting","Act as a professional writer and communications strategist. I have [NUMBER] sources covering [TOPIC]. Synthesize them into a [DOCUMENT_TYPE] for [AUDIENCE] that resolves contradictions, highlights consensus, and provides actionable insight. Use an [OUTLINE_STRUCTURE]. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Merges research and inputs into cohesive narratives for reports and briefs.","Paste or name each source; Copilot tracks provenance. Useful for white papers, market briefs, and strategy documents.","Intermediate","Content Drafting","synthesis|research|reporting","","4","Analyst|Planner/Strategist|Researcher|Writer/Editor"
"UT-DRF-003","Refinement and Polish","Universal Toolkit","Universal","Chat","Copilot Chat Only","Content Drafting","Act as a professional writer and communications strategist. Review this [DOCUMENT_TYPE] for: flow, clarity, redundancy, and impact. Revise for a [SENIORITY_LEVEL] audience, tighten by [PERCENTAGE]%, and improve visual hierarchy. Preserve all content intent. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Enhances existing drafts for publication readiness and stakeholder reception.","Copilot is good at tightening; specify the % reduction you need. For very long docs, ask for section-by-section feedback first.","Intermediate","Content Drafting","editing|refinement|publication-readiness","","4","Analyst|Designer/Creator|Manager|Planner/Strategist|Writer/Editor"
"UT-DRF-004","Tone and Voice Adjustment","Universal Toolkit","Universal","Chat","Copilot Chat Only","Content Drafting","Act as a professional writer and communications strategist. This [DOCUMENT_TYPE] is currently [CURRENT_TONE]. Rewrite it in [TARGET_TONE] while keeping all information intact. The audience is [AUDIENCE] and the use case is [USE_CASE]. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Adapts messaging to audience expectations without losing substance.","Give examples of the target tone if possible; Copilot will match style better. Useful for executive summaries (from technical docs) or vice versa.","Beginner","Content Drafting","tone|voice|audience-adaptation","","4","Analyst|Planner/Strategist|Writer/Editor"
"UT-DRF-005","Audience Adaptation","Universal Toolkit","Universal","Chat","Copilot Chat Only","Content Drafting","Act as a professional writer and communications strategist. Adapt this [DOCUMENT_TYPE] for [TARGET_AUDIENCE] (currently written for [ORIGINAL_AUDIENCE]). Adjust: technical depth, terminology, examples, and emphasis to match [AUDIENCE_NEED/CONCERN]. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Reframes messaging for different stakeholder groups from a single draft.","Describe what the new audience cares about (e.g., CFO wants ROI, ops wants feasibility); Copilot will emphasize accordingly. Useful for multi-stakeholder rollouts.","Intermediate","Content Drafting","adaptation|stakeholder-communication|efficiency","","4","Analyst|Manager|Planner/Strategist|Writer/Editor"
"UT-DRF-008","Version Merging and Reconciliation","Universal Toolkit","Universal","Chat","Copilot Chat Only","Content Drafting","Act as a professional writer and communications strategist. I have [NUMBER] versions of [DOCUMENT_TYPE] from different authors. Merge them into one coherent document that incorporates all contributions. Preserve distinct insights and flag conflicting statements. Think through each element systematically before producing output. Note any assumptions made and flag areas where additional information would improve the analysis.","Consolidates collaborative drafts without losing authorial input.","List authors so Copilot can track perspectives; useful for pre-review merges. Ask for a reconciliation table if conflicts are significant.","Intermediate","Content Drafting","collaboration|merging|reconciliation","","4","Analyst|Planner/Strategist|Writer/Editor"
"UT-DRF-009","Outline Expansion","Universal Toolkit","Universal","Chat","Copilot Chat Only","Content Drafting","Act as a professional writer and communications strategist. I have a [DOCUMENT_TYPE] outline: [OUTLINE]. Expand each section with 2-3 paragraphs of substantial content on [TOPIC] for [AUDIENCE]. Use [TONE] and include [SPECIFIC_ELEMENTS]. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Turns skeletal outlines into first-draft prose for faster authoring.","Provide an outline structure and key talking points; Copilot will flesh out. Review the output for accuracy in technical sections.","Intermediate","Content Drafting","outline-expansion|first-draft|efficiency","","4","Analyst|Planner/Strategist|Writer/Editor"
"UT-DRF-010","Brand Voice Consistency Check","Universal Toolkit","Universal","Chat","Copilot Chat Only","Content Drafting","Act as a professional writer and communications strategist. Review this [DOCUMENT_TYPE] against our brand guidelines: [GUIDELINES_SUMMARY]. Adjust language, tone, examples, and messaging to align with [BRAND_ATTRIBUTE]. Maintain all factual content. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Ensures marketing and corporate messaging reflects brand identity consistently.","Provide brand guidelines, brand book excerpts, or past examples; Copilot will learn your voice. Useful for multi-author communications.","Intermediate","Content Drafting","brand-consistency|voice|governance","","4","Analyst|Planner/Strategist|Writer/Editor"
"UT-DRF-011","Change Management Communication Plan","Universal Toolkit","Universal","Chat","Copilot Chat Only","Change Management","Act as a change management specialist with expertise in organizational transformation. I am rolling out [CHANGE_INITIATIVE] affecting [AUDIENCE]. Draft a change management communication plan with: 1) Stakeholder Map (who needs to know what when), 2) Key Messages per audience tier, 3) Communication Timeline (pre-launch / launch week / post-launch), 4) FAQ document for managers, 5) Resistance mitigation talking points. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Creates structured change comms that address different stakeholder needs and proactively manage resistance.","Provide the change details and impacted groups. Copilot will tailor messaging by audience. Include the business rationale — people accept change better when they understand why.","Intermediate","Change Management","change-management|communication|stakeholder","","4","Analyst|Manager|Planner/Strategist|Writer/Editor"
"UT-DRF-013","Root Cause Analysis Framework","Universal Toolkit","Universal","Chat","Copilot Chat Only","Problem Solving","Act as a process improvement specialist with expertise in root cause analysis. I have encountered [PROBLEM_DESCRIPTION]. Walk me through a root cause analysis: 1) Symptom Documentation, 2) Timeline (when did it start and what changed), 3) Scope (what is affected vs. what is not), 4) Top 3 theories with diagnostic questions for each, 5) Most likely root cause with evidence, 6) Recommended fixes ranked by effort vs. impact. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Structured problem-solving that prevents treating symptoms instead of addressing actual causes.","Describe symptoms in specific detail. Copilot will ask probing questions. Resist jumping to solutions before validating root cause.","Intermediate","Problem Solving","root-cause|troubleshooting|decision-making","","4","Analyst|Executive|Planner/Strategist"
"UT-DRF-014","Stakeholder Alignment Document","Universal Toolkit","Universal","Chat","Copilot Chat Only","Strategic Planning","Act as a strategy consultant with expertise in business planning and stakeholder alignment. I need to align [STAKEHOLDERS] on [INITIATIVE]. Create a one-page alignment document with: 1) Problem Statement (2-3 sentences), 2) Proposed Solution, 3) Expected Outcomes with metrics, 4) Resource Requirements, 5) Timeline and milestones, 6) Decision needed and by when. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Ensures all stakeholders have the same understanding of what is being proposed and what decision is required.","Keep it to one page. Decision-makers scan — use bold headers and keep each section to 2-3 sentences max. End with a clear ask.","Intermediate","Strategic Planning","stakeholder|alignment|decision-making","","4","Analyst|Executive|Manager|Planner/Strategist|Writer/Editor"
"UT-DRF-015","Process Documentation Template","Universal Toolkit","Universal","Chat","Copilot Chat Only","Operations","Act as an operations excellence specialist with expertise in process optimization. Document the process for [PROCESS_NAME]: 1) Process Owner and Stakeholders, 2) Trigger (what starts this process), 3) Step-by-step procedure with decision points, 4) Roles and Responsibilities (RACI), 5) Systems and Tools used, 6) Exceptions and escalation paths, 7) SLA and metrics. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Captures institutional knowledge into reusable process documentation that survives team changes.","Walk through the process mentally before documenting. Flag any steps where tribal knowledge is needed. Include screenshots or references where helpful.","Beginner","Operations","process-documentation|SOP|knowledge-management","","4","Admin/Coordinator|Analyst|Manager"
"UT-DRF-017","Vendor Evaluation Scorecard","Universal Toolkit","Universal","Chat","Copilot Chat Only","Procurement","Act as a senior specialist with deep domain expertise. Evaluate [VENDORS] for [REQUIREMENT]. Create a weighted scorecard: 1) Evaluation Criteria (table: Criterion | Weight | Vendor A | Vendor B | Vendor C), 2) Scoring methodology, 3) Strengths and weaknesses per vendor, 4) Total weighted score, 5) Recommendation with rationale. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output.","Structured vendor comparison that makes procurement decisions transparent and defensible.","Define criteria and weights before scoring. Include both quantitative (price and SLA) and qualitative (innovation and cultural fit) factors.","Intermediate","Procurement","vendor-evaluation|scorecard|procurement","High Risk","4","Analyst"
"UT-DRF-018","Workshop Facilitation Guide","Universal Toolkit","Universal","Chat","Copilot Chat Only","Facilitation","Act as a workshop facilitator with expertise in collaborative problem-solving. Design a [DURATION] workshop on [TOPIC] for [AUDIENCE]. Include: 1) Objectives and success metrics, 2) Agenda with timing (table: Time | Activity | Method | Materials), 3) Discussion prompts for each segment, 4) Breakout group instructions, 5) Parking lot template, 6) Follow-up action plan template. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Creates a ready-to-run workshop plan with timing and discussion prompts and facilitation notes.","Test timing by running through agenda mentally. Build in 10% buffer time. Have a backup activity if discussion runs short. Always end with clear next steps.","Intermediate","Facilitation","workshop|facilitation|collaboration","","4","Admin/Coordinator|Analyst|Designer/Creator|Planner/Strategist"
"UT-DRF-020","Knowledge Transfer Checklist","Universal Toolkit","Universal","Chat","Copilot Chat Only","Knowledge Management","Act as a knowledge management specialist with expertise in organizational learning. Create a knowledge transfer plan for [DEPARTING_ROLE]: 1) Critical Knowledge Inventory (what only this person knows), 2) Document List (what needs to be written down), 3) Handoff Sessions (table: Topic | Recipient | Date | Status), 4) Access and Credentials Transfer, 5) Relationship Map (key contacts and context), 6) Open Items and Risks. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Ensures institutional knowledge is captured before team transitions to prevent operational gaps.","Start knowledge transfer 4-6 weeks before departure. Prioritize undocumented tribal knowledge. Have the departing person review the final document.","Intermediate","Knowledge Management","knowledge-transfer|onboarding|succession","","4","Analyst|Executive|Manager|Planner/Strategist|Writer/Editor"
"UT-DRF-021","Policy Exception Request","Universal Toolkit","Universal","Chat","Copilot Chat Only","Governance","Act as a governance and compliance specialist with expertise in policy management. Draft a policy exception request for [POLICY_NAME]: 1) Current Policy Statement, 2) Requested Exception (what and why and for how long), 3) Business Justification with impact if denied, 4) Risk Assessment and proposed mitigations, 5) Approval Chain and timeline needed. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output.","Creates a well-structured exception request that balances business need with risk management.","Include the specific policy clause number. Quantify the business impact. Propose a time-bound exception with review date rather than permanent change.","Intermediate","Governance","policy|exception|governance|compliance","","4","Planner/Strategist|Writer/Editor"
"UT-DRF-023","Executive Briefing One-Pager","Universal Toolkit","Universal","Chat","Copilot Chat Only","Executive Communication","Act as a senior executive communications writer who specializes in leadership-ready content. Create an executive one-pager on [TOPIC]: Structure as: Header (title and date and author), Situation (2-3 sentences), Complication (what changed or what is the challenge), Resolution (recommended path), Key Metrics (small table), Next Steps and Ask. Keep under 500 words. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Distills complex topics into the concise format executives actually read and act on.","Use the SCR framework (Situation Complication Resolution). Lead with the ask not the background. Executives decide — give them what they need to decide.","Intermediate","Executive Communication","one-pager|executive|briefing|leadership","","4","Analyst|Executive|Writer/Editor"
